;cml;phi_io;phi_gan;phi_eu;time;freq;intensity;drift_rate;sigma;chi;snr
6762;45.0522224009037;243.9533530715853;41.597591336932965;167.8191304244101;11425.290720939636;12.486267;0.53501797;-12.137892;16.255457;0.0013097685;12.484858
6763;45.06330802105367;243.95592394610867;41.59823250176851;167.8204136188142;11425.290733675472;12.486267;0.7222177;-12.452024;16.689482;0.002014486;13.457525
6764;45.07441066391766;243.9584987689741;41.598874651128426;167.8216987834312;11425.290746430866;12.486267;1.1508509;-11.834587;16.379637;0.004672867;15.780442
6765;45.08549587801099;243.9610695494339;41.599515792448074;167.8229819308035;11425.290759166237;12.486267;0.98995644;-11.834587;16.014057;0.0077728624;9.452435
6766;45.096581092104316;243.96364033035934;41.600156933884136;167.8242650781758;11425.290771901608;12.486267;0.82025236;-13.115525;17.08485;0.0057504447;8.550241
6767;45.107683734968305;243.9662151527591;41.600799083244056;167.82555024279281;11425.290784657001;12.486267;1.2333795;-11.834587;16.258558;0.008965104;11.895175
6768;45.11876935325563;243.96878602774814;41.60144024796318;167.8268334371969;11425.290797392838;12.486267;0.85588926;-12.137892;15.327302;0.0024910423;15.122815
6769;45.12987199611962;243.9713608501479;41.60208239743952;167.8281186018139;11425.290810148232;12.486267;0.80801684;-12.452024;16.658045;0.001873143;16.838102
6770;45.140957210212946;243.97393163107336;41.602723538759165;167.82940174918622;11425.290822883602;12.486267;0.4574959;-12.137892;15.689038;0.0016632553;12.0819235
6771;45.15204242430627;243.97650241153315;41.60336468007881;167.83068489655852;11425.290835618973;12.486267;0.13944437;-15.900838;23.555862;0.00047034258;6.4554887
6772;45.21860639937222;243.99193931557238;41.60721457574982;167.83838987955824;11425.290912091732;12.486267;0.14935198;-15.450217;14.030365;0.00034166564;7.7695026
6773;45.25187987461686;243.99965579342097;41.60913903126493;167.84224138595164;11425.290950318333;12.486267;0.13707209;-13.83128;14.220698;0.00045710616;6.34599
6774;45.26296508871019;244.00222657434642;41.60978017258458;167.84352453332394;11425.290963053703;12.486267;0.92340213;-11.541473;15.750507;0.0037784977;14.698193
6775;45.27406773157418;244.00480139721185;41.6104223219445;167.84480969794095;11425.290975809097;12.486267;0.19914418;-11.834587;10.635119;0.000509542;7.918141
